date,average_price,PLU4046,PLU4225,PLU4770,amount_from_small_bags,amount_from_large_bags,amount_from_xlarge_bags,type,year,region_grouping,region,total_consumption
1/4/2015,1,364302,23821,82,16707,30109,0,conventional,2015,city,Atlanta,435021
12/27/2015,1.17,40450,394104,17354,142544,2367,0,conventional,2015,city,BaltimoreWashington,596819
12/20/2015,1.11,44741,434591,19112,141752,2486,0,conventional,2015,city,BaltimoreWashington,642682
12/13/2015,1.15,44400,399852,24291,149070,1896,0,conventional,2015,city,BaltimoreWashington,619509
12/6/2015,1.04,51129,453586,25760,117113,1552,0,conventional,2015,city,BaltimoreWashington,649140
11/29/2015,1.16,41028,379156,20148,103616,1852,0,conventional,2015,city,BaltimoreWashington,545800
11/22/2015,1.12,40868,386138,23343,119008,2663,0,conventional,2015,city,BaltimoreWashington,572020
11/15/2015,1.04,47110,503470,37990,125298,4463,0,conventional,2015,city,BaltimoreWashington,718331
11/8/2015,1.05,58579,576513,51035,138778,6063,0,conventional,2015,city,BaltimoreWashington,830968
11/1/2015,1.12,51860,473819,58616,152716,5209,0,conventional,2015,city,BaltimoreWashington,742220
10/25/2015,1.19,53766,397911,49086,149988,6141,0,conventional,2015,city,BaltimoreWashington,656892
10/18/2015,0.99,59122,745385,49171,146421,5505,0,conventional,2015,city,BaltimoreWashington,1005604
10/11/2015,1.24,34707,392009,58490,163669,4685,0,conventional,2015,city,BaltimoreWashington,653560
10/4/2015,1.28,35342,407610,42258,167495,4739,0,conventional,2015,city,BaltimoreWashington,657444
9/27/2015,1.19,34309,451061,59019,146793,5100,0,conventional,2015,city,BaltimoreWashington,696282
9/20/2015,1.17,39620,450283,45336,168890,5140,0,conventional,2015,city,BaltimoreWashington,709269
9/13/2015,1.09,55699,675524,42270,145686,5814,0,conventional,2015,city,BaltimoreWashington,924993
9/6/2015,1.18,63904,522568,68180,165697,3269,6,conventional,2015,city,BaltimoreWashington,823624
8/30/2015,1.24,48455,458207,42754,181969,3159,177,conventional,2015,city,BaltimoreWashington,734721
8/23/2015,1.16,59242,499100,47216,175047,3060,269,conventional,2015,city,BaltimoreWashington,783934
8/16/2015,1.14,86492,597185,43103,153157,2797,22,conventional,2015,city,BaltimoreWashington,882756
8/9/2015,1.16,56363,557364,42934,161565,3298,0,conventional,2015,city,BaltimoreWashington,821524
8/2/2015,1.17,53958,535167,44750,163668,3061,0,conventional,2015,city,BaltimoreWashington,800604
7/26/2015,1.2,52746,496509,45011,174775,3880,5,conventional,2015,city,BaltimoreWashington,772926
7/19/2015,1.18,52955,496206,50320,196838,3862,13,conventional,2015,city,BaltimoreWashington,800194
7/12/2015,1.1,58828,547537,50679,189236,4406,245,conventional,2015,city,BaltimoreWashington,850931
7/5/2015,1.16,66505,567641,56045,200098,5891,120,conventional,2015,city,BaltimoreWashington,896300
6/28/2015,1.15,65052,534535,51110,207378,4023,164,conventional,2015,city,BaltimoreWashington,862262
6/21/2015,1.16,58399,527866,51953,220904,3488,230,conventional,2015,city,BaltimoreWashington,862840
6/14/2015,1.09,64005,593500,48345,244982,3668,547,conventional,2015,city,BaltimoreWashington,955047
6/7/2015,1.26,62585,462951,43721,221166,3626,261,conventional,2015,city,BaltimoreWashington,794310
5/31/2015,1.19,67745,617814,45833,211787,5730,268,conventional,2015,city,BaltimoreWashington,949177
5/24/2015,1.18,63610,560740,49809,228843,5549,111,conventional,2015,city,BaltimoreWashington,908662
5/17/2015,1.27,63515,455167,44841,222163,5152,16,conventional,2015,city,BaltimoreWashington,790854
5/10/2015,1.26,79192,507104,44391,215572,8947,0,conventional,2015,city,BaltimoreWashington,855206
5/3/2015,1.17,73038,536710,77537,201874,7767,44,conventional,2015,city,BaltimoreWashington,896970
4/26/2015,1.29,58014,431533,39943,212065,6184,103,conventional,2015,city,BaltimoreWashington,747842
4/19/2015,1.28,67487,427623,42125,219886,5741,0,conventional,2015,city,BaltimoreWashington,762862
4/12/2015,1.15,70797,523170,42271,196076,5316,0,conventional,2015,city,BaltimoreWashington,837630
4/5/2015,1.29,53579,401279,41867,184109,6357,874,conventional,2015,city,BaltimoreWashington,688065
3/29/2015,1.25,58098,398051,43760,158964,4805,0,conventional,2015,city,BaltimoreWashington,663678
3/22/2015,1.1,65159,524971,42381,171700,4686,0,conventional,2015,city,BaltimoreWashington,808897
3/15/2015,1.24,53400,395837,46596,193131,4734,0,conventional,2015,city,BaltimoreWashington,693698
3/8/2015,1.26,55285,367671,42268,188374,4148,0,conventional,2015,city,BaltimoreWashington,657746
3/1/2015,1.16,59040,498873,40242,168224,3737,0,conventional,2015,city,BaltimoreWashington,770116
2/22/2015,1.11,50501,445971,62612,186977,3786,0,conventional,2015,city,BaltimoreWashington,749847
2/15/2015,1.25,49752,361677,45900,174865,5125,0,conventional,2015,city,BaltimoreWashington,637319
2/8/2015,1.09,71704,554857,37437,175771,5162,0,conventional,2015,city,BaltimoreWashington,844931
2/1/2015,1.06,93167,666010,83652,159917,4672,0,conventional,2015,city,BaltimoreWashington,1007418
1/25/2015,1.2,49696,386399,39489,209762,7589,0,conventional,2015,city,BaltimoreWashington,692935
1/18/2015,1.23,49947,393360,40576,169391,4468,0,conventional,2015,city,BaltimoreWashington,657742
1/11/2015,1.17,51461,420838,42527,151331,4076,0,conventional,2015,city,BaltimoreWashington,670233
1/4/2015,1.08,53987,552906,39995,137146,3991,0,conventional,2015,city,BaltimoreWashington,788025
12/27/2015,0.97,30482,2972,5894,23520,6,35,conventional,2015,city,Boise,62909
12/20/2015,1.03,25628,2546,7394,21900,11,24,conventional,2015,city,Boise,57503
12/13/2015,0.99,27149,2986,6458,21843,4,21,conventional,2015,city,Boise,58461
12/6/2015,0.71,35591,12526,4086,42735,0,357,conventional,2015,city,Boise,95295
11/29/2015,1.06,24190,2790,6031,15861,0,197,conventional,2015,city,Boise,49069
11/22/2015,1.09,25409,3256,6663,17531,4,13,conventional,2015,city,Boise,52876
11/15/2015,1.01,24425,12086,6502,25200,9,427,conventional,2015,city,Boise,68649
11/8/2015,1.11,31910,4652,6286,12778,120,102,conventional,2015,city,Boise,55848
11/1/2015,1.14,30435,4360,6428,12332,0,31,conventional,2015,city,Boise,53586
10/25/2015,1.11,29522,10090,6552,13661,0,50,conventional,2015,city,Boise,59875
10/18/2015,1.16,29614,9069,6586,8918,0,3,conventional,2015,city,Boise,54190
10/11/2015,0.94,26114,33416,7604,13543,185,41,conventional,2015,city,Boise,80903
10/4/2015,1.12,35154,10822,7552,5462,505,2,conventional,2015,city,Boise,59497
9/27/2015,0.99,47007,5754,3663,7597,160,6,conventional,2015,city,Boise,64187
9/20/2015,1.03,34827,21592,6640,10601,273,19,conventional,2015,city,Boise,73952
9/13/2015,1.08,45739,4394,6593,7483,0,0,conventional,2015,city,Boise,64209
9/6/2015,1.16,44135,5402,7992,6934,0,2,conventional,2015,city,Boise,64465
8/30/2015,1.19,40927,5810,7923,5441,0,0,conventional,2015,city,Boise,60101
8/23/2015,1.05,44059,14861,4433,7420,0,0,conventional,2015,city,Boise,70773
8/16/2015,1.12,46189,5258,6457,6091,0,6,conventional,2015,city,Boise,64001
8/9/2015,1.1,44740,5034,3931,7569,13,0,conventional,2015,city,Boise,61287
8/2/2015,1.07,51151,5141,5435,5988,49,0,conventional,2015,city,Boise,67764
7/26/2015,1.07,50978,4856,5480,6358,154,0,conventional,2015,city,Boise,67826
7/19/2015,1.09,45922,5300,5565,6354,817,0,conventional,2015,city,Boise,63958
7/12/2015,1.05,51829,5803,7474,8335,1237,0,conventional,2015,city,Boise,74678
7/5/2015,1.15,61950,8022,8435,6557,81,0,conventional,2015,city,Boise,85045
6/28/2015,1.04,59111,6573,3975,5619,0,2,conventional,2015,city,Boise,75280
6/21/2015,1.06,52790,15445,5876,7022,0,265,conventional,2015,city,Boise,81398
6/14/2015,0.99,58791,17880,3136,7800,0,0,conventional,2015,city,Boise,87607
6/7/2015,1.12,61245,7238,6656,5604,9,0,conventional,2015,city,Boise,80752
5/31/2015,0.97,57374,7421,4028,7860,6,0,conventional,2015,city,Boise,76689
5/24/2015,1.03,54826,14839,6037,7470,0,38,conventional,2015,city,Boise,83210
5/17/2015,0.96,61320,7394,2920,6346,0,8,conventional,2015,city,Boise,77988
5/10/2015,1.06,62505,15897,7891,9453,0,42,conventional,2015,city,Boise,95788
5/3/2015,1,66880,7942,4290,6350,0,5,conventional,2015,city,Boise,85467
4/26/2015,0.96,69545,7985,3402,7175,0,5,conventional,2015,city,Boise,88112
4/19/2015,0.99,56844,21631,3260,7954,0,6,conventional,2015,city,Boise,89695
4/12/2015,1.19,44469,8506,7523,5748,0,0,conventional,2015,city,Boise,66246
4/5/2015,1.09,57340,9060,3790,6511,0,3,conventional,2015,city,Boise,76704
3/29/2015,0.98,59533,7120,3102,4790,0,0,conventional,2015,city,Boise,74545
3/22/2015,1.17,44227,6590,7290,3312,0,0,conventional,2015,city,Boise,61419
3/15/2015,1,51472,7018,2982,4446,0,0,conventional,2015,city,Boise,65918
3/8/2015,1.14,45880,7206,7404,4860,0,0,conventional,2015,city,Boise,65350
3/1/2015,1.06,40578,23739,3492,6479,759,0,conventional,2015,city,Boise,75047
2/22/2015,0.99,50872,16375,2122,7235,232,0,conventional,2015,city,Boise,76836
2/15/2015,1.14,41548,7840,6493,3648,1693,0,conventional,2015,city,Boise,61222
2/8/2015,1.07,54229,9647,3047,1373,1674,0,conventional,2015,city,Boise,69970
2/1/2015,0.91,67496,36532,2905,4867,1778,0,conventional,2015,city,Boise,113578
1/25/2015,1.03,51922,7556,2061,2010,2521,0,conventional,2015,city,Boise,66070
1/18/2015,1.08,50355,6342,2257,1119,2797,0,conventional,2015,city,Boise,62870
1/11/2015,1.18,38112,10998,3322,3295,1629,0,conventional,2015,city,Boise,57356
1/4/2015,1.01,44562,24964,2752,6064,1691,0,conventional,2015,city,Boise,80033
12/27/2015,1.13,3886,346965,13953,85914,99,0,conventional,2015,city,Boston,450817
12/20/2015,1.07,4912,390101,5888,88768,133,0,conventional,2015,city,Boston,489802
12/13/2015,1.01,4641,455362,219,89523,200,0,conventional,2015,city,Boston,549945
12/6/2015,1.02,5126,407520,143,75666,224,0,conventional,2015,city,Boston,488679
11/29/2015,1.19,3609,272719,106,73865,261,0,conventional,2015,city,Boston,350560
11/22/2015,1.07,4458,383420,234,78162,486,0,conventional,2015,city,Boston,466760
11/15/2015,1.05,5310,420937,140,85604,1748,0,conventional,2015,city,Boston,513739
11/8/2015,1.04,5304,542881,232,88265,5078,0,conventional,2015,city,Boston,641760
11/1/2015,1.06,4886,449532,170,93443,5065,0,conventional,2015,city,Boston,553096
10/25/2015,1.02,4005,430726,191,94582,4745,0,conventional,2015,city,Boston,534249
10/18/2015,0.94,6410,627504,333,86046,5003,0,conventional,2015,city,Boston,725296
10/11/2015,1.14,5146,378296,355,97513,4397,0,conventional,2015,city,Boston,485707
10/4/2015,1.07,5804,427359,278,97207,5831,0,conventional,2015,city,Boston,536479
9/27/2015,1.07,5211,463080,289,82124,2603,0,conventional,2015,city,Boston,553307
9/20/2015,1.15,4377,398673,418,91613,3559,0,conventional,2015,city,Boston,498640
9/13/2015,1.03,5422,560792,354,84844,4271,0,conventional,2015,city,Boston,655683
9/6/2015,1.11,4237,477868,497,94558,614,0,conventional,2015,city,Boston,577774
8/30/2015,1.13,4177,438503,554,83242,189,0,conventional,2015,city,Boston,526665
8/23/2015,1.07,4744,488292,609,95585,241,0,conventional,2015,city,Boston,589471
8/16/2015,1.15,4461,464476,749,95887,222,0,conventional,2015,city,Boston,565795
8/9/2015,1.07,4173,590998,827,94288,231,0,conventional,2015,city,Boston,690517
8/2/2015,1.17,4442,468592,1452,97214,294,0,conventional,2015,city,Boston,571994
7/26/2015,1.28,4299,393282,1958,100467,228,0,conventional,2015,city,Boston,500234
7/19/2015,1.18,4720,477630,5072,109519,227,0,conventional,2015,city,Boston,597168
7/12/2015,1.14,5332,471640,9362,146947,1236,0,conventional,2015,city,Boston,634517
7/5/2015,1.27,4743,418251,11054,145983,2878,0,conventional,2015,city,Boston,582909
6/28/2015,1.25,4688,403231,9120,142575,881,0,conventional,2015,city,Boston,560495
6/21/2015,1.24,3582,404909,8899,125821,293,0,conventional,2015,city,Boston,543504
6/14/2015,1.08,5104,521255,6545,151259,183,0,conventional,2015,city,Boston,684346
6/7/2015,1.25,4034,421007,93,137225,183,0,conventional,2015,city,Boston,562542
5/31/2015,1.26,4128,418105,109,142515,303,0,conventional,2015,city,Boston,565160
5/24/2015,1.14,4602,490486,277,137769,388,0,conventional,2015,city,Boston,633522
5/17/2015,1.26,4286,380514,163,147668,1858,0,conventional,2015,city,Boston,534489
5/10/2015,1.14,4602,476828,131,141309,2688,0,conventional,2015,city,Boston,625558
5/3/2015,1.17,3829,429586,240,115149,3565,0,conventional,2015,city,Boston,552369
4/26/2015,1.28,3915,352464,131,106866,2534,0,conventional,2015,city,Boston,465910
4/19/2015,1.15,4014,384880,163,114562,1001,0,conventional,2015,city,Boston,504620
4/12/2015,1.26,3576,294164,106,108644,1995,0,conventional,2015,city,Boston,408485
4/5/2015,1.27,3658,330425,100,113541,1949,146,conventional,2015,city,Boston,449819
3/29/2015,1.19,3619,339299,151,108838,1723,0,conventional,2015,city,Boston,453630
3/22/2015,1.18,5956,344397,156,102204,460,0,conventional,2015,city,Boston,453173
3/15/2015,1.25,6086,308997,112,101932,624,0,conventional,2015,city,Boston,417751
3/8/2015,1.17,3426,290513,79,113811,576,0,conventional,2015,city,Boston,408405
3/1/2015,1.11,4106,383574,193,97423,440,0,conventional,2015,city,Boston,485736
2/22/2015,1.23,3233,251341,142,100498,218,0,conventional,2015,city,Boston,355432
2/15/2015,1.2,3795,281106,143,114284,556,0,conventional,2015,city,Boston,399884
2/8/2015,1.04,7653,495732,384,105403,813,0,conventional,2015,city,Boston,609985
2/1/2015,1.22,6083,373452,273,109901,313,0,conventional,2015,city,Boston,490022
1/25/2015,1.17,4731,288095,46,115538,934,0,conventional,2015,city,Boston,409344
1/18/2015,1.23,4384,287779,133,108669,368,0,conventional,2015,city,Boston,401333
1/11/2015,1.1,5548,320577,122,111193,332,0,conventional,2015,city,Boston,437772
1/4/2015,1.02,7194,396752,129,87407,256,0,conventional,2015,city,Boston,491738
12/27/2015,1.35,1368,39543,86,55237,0,0,conventional,2015,city,BuffaloRochester,96234
12/20/2015,1.37,1165,38431,107,51165,0,0,conventional,2015,city,BuffaloRochester,90868
12/13/2015,1.35,1421,40783,66,56202,0,0,conventional,2015,city,BuffaloRochester,98472
12/6/2015,1.23,1738,58197,167,48356,0,0,conventional,2015,city,BuffaloRochester,108458
11/29/2015,1.39,1515,35683,113,42662,0,0,conventional,2015,city,BuffaloRochester,79973
11/22/2015,1.4,1712,38781,108,49642,0,0,conventional,2015,city,BuffaloRochester,90243
11/15/2015,1.36,1804,41457,107,55593,742,0,conventional,2015,city,BuffaloRochester,99703
11/8/2015,1.3,1289,49507,55,58886,1302,0,conventional,2015,city,BuffaloRochester,111039
11/1/2015,1.23,2181,61875,186,52956,1342,0,conventional,2015,city,BuffaloRochester,118540
10/25/2015,1.36,1546,36646,80,59381,1902,0,conventional,2015,city,BuffaloRochester,99555
10/18/2015,1.29,1536,40702,58,62627,1160,0,conventional,2015,city,BuffaloRochester,106083
10/11/2015,1.3,2170,50862,96,54830,1196,0,conventional,2015,city,BuffaloRochester,109154
10/4/2015,1.33,3020,38353,101,56141,1284,0,conventional,2015,city,BuffaloRochester,98899
9/27/2015,1.31,1908,60293,106,27767,671,0,conventional,2015,city,BuffaloRochester,90745
9/20/2015,1.54,1445,39832,89,18438,821,0,conventional,2015,city,BuffaloRochester,60625
9/13/2015,1.59,1573,48469,134,22422,446,0,conventional,2015,city,BuffaloRochester,73044
9/6/2015,1.56,1472,49388,173,25093,13,0,conventional,2015,city,BuffaloRochester,76139
8/30/2015,1.38,1406,61601,242,20483,0,0,conventional,2015,city,BuffaloRochester,83732
8/23/2015,1.49,1287,43655,170,23840,0,0,conventional,2015,city,BuffaloRochester,68952
8/16/2015,1.5,1231,45938,258,22372,0,0,conventional,2015,city,BuffaloRochester,69799
8/9/2015,1.47,1140,56289,349,24052,0,0,conventional,2015,city,BuffaloRochester,81830
8/2/2015,1.47,1448,44621,472,31623,0,0,conventional,2015,city,BuffaloRochester,78164
7/26/2015,1.39,1679,45615,742,43789,0,0,conventional,2015,city,BuffaloRochester,91825
7/19/2015,1.36,1166,54493,2205,70982,0,0,conventional,2015,city,BuffaloRochester,128846
7/12/2015,1.45,1119,47295,4715,73796,427,0,conventional,2015,city,BuffaloRochester,127352
7/5/2015,1.47,1503,56925,6708,74371,907,0,conventional,2015,city,BuffaloRochester,140414
6/28/2015,1.36,1236,51802,5397,78750,62,0,conventional,2015,city,BuffaloRochester,137247
6/21/2015,1.5,1255,47846,5425,54130,0,0,conventional,2015,city,BuffaloRochester,108656
6/14/2015,1.34,1184,48287,4433,95474,0,0,conventional,2015,city,BuffaloRochester,149378
6/7/2015,1.38,779,58000,139,71991,0,0,conventional,2015,city,BuffaloRochester,130909
5/31/2015,1.4,1039,54249,79,75473,0,0,conventional,2015,city,BuffaloRochester,130840
5/24/2015,1.43,1034,55019,104,65742,44,0,conventional,2015,city,BuffaloRochester,121943
5/17/2015,1.35,933,61668,57,73415,978,0,conventional,2015,city,BuffaloRochester,137051
5/10/2015,1.33,1322,73754,185,94833,453,0,conventional,2015,city,BuffaloRochester,170547
5/3/2015,1.42,946,50266,82,84332,1102,43,conventional,2015,city,BuffaloRochester,136771
4/26/2015,1.41,1118,49557,106,85503,640,40,conventional,2015,city,BuffaloRochester,136964
4/19/2015,1.42,1022,52955,59,85057,520,0,conventional,2015,city,BuffaloRochester,139613
4/12/2015,1.42,884,45444,93,70938,814,0,conventional,2015,city,BuffaloRochester,118173
4/5/2015,1.44,969,51024,96,71409,598,50,conventional,2015,city,BuffaloRochester,124146
3/29/2015,1.39,1353,48430,81,69919,108,0,conventional,2015,city,BuffaloRochester,119891
3/22/2015,1.4,3091,45420,48,71289,56,0,conventional,2015,city,BuffaloRochester,119904
3/15/2015,1.47,3500,45689,66,54046,111,0,conventional,2015,city,BuffaloRochester,103412
3/8/2015,1.35,1072,61974,102,62217,360,0,conventional,2015,city,BuffaloRochester,125725
3/1/2015,1.43,1033,41685,104,69480,62,0,conventional,2015,city,BuffaloRochester,112364
2/22/2015,1.41,1709,45394,132,61765,547,0,conventional,2015,city,BuffaloRochester,109547
2/15/2015,1.44,1521,43272,58,55233,124,0,conventional,2015,city,BuffaloRochester,100208
2/8/2015,1.36,1822,66262,162,63918,596,0,conventional,2015,city,BuffaloRochester,132760
2/1/2015,1.33,2118,64771,112,86848,71,0,conventional,2015,city,BuffaloRochester,153920
